Area,Total population,Young,Adults,Elderly,Populated squares,Mean X,Mean Y,Mean Z
Loimaa,15875,3770,7606,4499,143,0.229090798375457,0.210167539934434,0.676012839815324
Loppi,7828,2060,3904,1864,550,0.162224769348081,0.311748203980841,0.887020935330156
Loviisa,14772,3308,7427,4037,802,0.32766146846144,0.217260961502222,0.552594795659643
Luhanka,690,102,313,275,645,0.33653920095704,0.18053240156882,0.472688696933198
Lumijoki,2020,812,862,346,367,0.311471313898083,0.227396393507501,0.589616080923176
Lumparland,366,89,175,102,479,0.273641384538489,0.278046435963574,0.712660922173771
Larsmo,5417,2412,2259,746,108,0.266129507537367,0.251240024327002,0.686458333537562
Luumäki,4636,940,2204,1492,64,0.233275728840241,0.204919858522336,0.659964420213755
Malax,5475,1357,2643,1475,35,0.384182843522179,0.085095946568015,0.216257211591339
Mariehamn,11679,3045,5970,2664,313,0.228392468050963,0.306015020515442,0.801336284739278
Marttila,2013,492,999,522,210,0.318703337921997,0.129877265597831,0.377355607864538
Masku,9534,2840,5027,1667,16,0.386580213243155,0.073330820075246,0.186367681737269
Merijärvi,1089,388,455,246,139,0.343049252953063,0.178799402228867,0.462193101536241
Merikarvia,3067,657,1396,1014,159,0.356575404949685,0.150357640673866,0.388525399116317
Miehikkälä,1857,331,855,671,74,0.253593175576155,0.195333747206943,0.610217253825102
Mikkeli,53134,14063,25817,13254,203,0.338496206751717,0.131616279276102,0.362389136414254
Muhos,8908,3142,4277,1489,179,0.22913267446573,0.310998332268091,0.8050187281787
Multia,1566,327,719,520,1631,0.229931213650534,0.28785344096451,0.781289666070535
Muonio,2308,573,1144,591,168,0.219400963206313,0.220354628207455,0.708612843761989
Korsholm,19448,5760,9708,3980,211,0.276752698866496,0.22179259862022,0.625333908722349
Muurame,10164,3198,5230,1736,159,0.203806428810588,0.148715450902895,0.589398983236478
Mynämäki,7654,1905,3839,1910,131,0.263119447503369,0.245735480528196,0.682545692876977
Myrskylä,1882,449,919,514,282,0.355430459276898,0.147189961038712,0.382606863048832
Mäntsälä,20721,6440,10607,3674,130,0.279810876795301,0.267084865717244,0.690459596296017
Mänttä-Vilppula,9855,2037,4608,3210,442,0.294143746618328,0.251784571317899,0.650274006334141
Mäntyharju,5791,1154,2627,2010,313,0.287999218023716,0.218447195296847,0.604293232550958
Naantali,19314,4842,9827,4645,489,0.243940551025483,0.282547561734789,0.756883037178475
Nakkila,5329,1349,2550,1430,317,0.359100039442218,0.148524485419378,0.382194884112746
Nivala,10639,3790,4621,2228,138,0.342331280451892,0.146824343430107,0.394166357788453
Nokia,33929,9871,17548,6510,272,0.250519050845689,0.210649718255139,0.643549879825662
